,Aktuell,Ziel
01/03/2023,0,6050
01/04/2023,0,6050
01/05/2023,0,6050
01/06/2023,0,6050
01/07/2023,0,6050
01/08/2023,0,6050
01/09/2023,0,6050
01/10/2023,0,6050
01/11/2023,0,6050
01/12/2023,0,6050
01/13/2023,0,6050
01/14/2023,21,6050
01/15/2023,0,6050
01/16/2023,9389,6050
01/17/2023,15635,6050
01/18/2023,16848,6050
01/19/2023,12104,6050
01/20/2023,14734,6050
01/21/2023,4446,6050
01/22/2023,4864,6050
01/23/2023,16628,6050
01/24/2023,12235,6050
01/25/2023,16930,6050
01/26/2023,22508,6050
01/27/2023,14603,6050
01/28/2023,7688,6050
01/29/2023,3846,6050
01/30/2023,14386,6050